Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;;2022;23,2
Total Nacional;;2021;20,4
Total Nacional;;2020;20,3
Total Nacional;;2019;20,9
Total Nacional;;2018;20,8
Total Nacional;;2017;23,2
Total Nacional;;2016;21,4
Total Nacional;;2015;23,9
Total Nacional;;2014;21,7
Total Nacional;;2013;20,8
Total Nacional;;2012;25,3
Total Nacional;;2011;25,6
Total Nacional;;2010;25,1
Total Nacional;;2009;28,3
Total Nacional;;2008;30,3
Total Nacional;;2007;36,2
Total Nacional;;2006;37,2
Total Nacional;;2005;36,9
Total Nacional;;2004;36,7
Total Nacional;01 Andalucía;2022;28,4
Total Nacional;01 Andalucía;2021;24,2
Total Nacional;01 Andalucía;2020;23,1
Total Nacional;01 Andalucía;2019;24,9
Total Nacional;01 Andalucía;2018;26,4
Total Nacional;01 Andalucía;2017;29,0
Total Nacional;01 Andalucía;2016;26,6
Total Nacional;01 Andalucía;2015;28,2
Total Nacional;01 Andalucía;2014;25,0
Total Nacional;01 Andalucía;2013;25,5
Total Nacional;01 Andalucía;2012;28,4
Total Nacional;01 Andalucía;2011;29,9
Total Nacional;01 Andalucía;2010;29,2
Total Nacional;01 Andalucía;2009;31,5
Total Nacional;01 Andalucía;2008;35,9
Total Nacional;01 Andalucía;2007;40,7
Total Nacional;01 Andalucía;2006;33,5
Total Nacional;01 Andalucía;2005;31,8
Total Nacional;01 Andalucía;2004;33,4
Total Nacional;02 Aragón;2022;20,4
Total Nacional;02 Aragón;2021;17,2
Total Nacional;02 Aragón;2020;14,0
Total Nacional;02 Aragón;2019;11,8
Total Nacional;02 Aragón;2018;12,5
Total Nacional;02 Aragón;2017;17,5
Total Nacional;02 Aragón;2016;19,2
Total Nacional;02 Aragón;2015;20,0
Total Nacional;02 Aragón;2014;18,6
Total Nacional;02 Aragón;2013;17,0
Total Nacional;02 Aragón;2012;21,1
Total Nacional;02 Aragón;2011;23,6
Total Nacional;02 Aragón;2010;25,9
Total Nacional;02 Aragón;2009;34,0
Total Nacional;02 Aragón;2008;41,2
Total Nacional;02 Aragón;2007;54,3
Total Nacional;02 Aragón;2006;51,7
Total Nacional;02 Aragón;2005;40,0
Total Nacional;02 Aragón;2004;28,0
Total Nacional;03 Asturias, Principado de;2022;26,1
Total Nacional;03 Asturias, Principado de;2021;24,0
Total Nacional;03 Asturias, Principado de;2020;24,2
Total Nacional;03 Asturias, Principado de;2019;20,3
Total Nacional;03 Asturias, Principado de;2018;22,5
Total Nacional;03 Asturias, Principado de;2017;24,5
Total Nacional;03 Asturias, Principado de;2016;22,8
Total Nacional;03 Asturias, Principado de;2015;25,8
Total Nacional;03 Asturias, Principado de;2014;26,4
Total Nacional;03 Asturias, Principado de;2013;26,5
Total Nacional;03 Asturias, Principado de;2012;27,2
Total Nacional;03 Asturias, Principado de;2011;29,1
Total Nacional;03 Asturias, Principado de;2010;29,5
Total Nacional;03 Asturias, Principado de;2009;32,1
Total Nacional;03 Asturias, Principado de;2008;32,4
