Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;;2022;11,4
Total Nacional;;2021;10,4
Total Nacional;;2020;10,7
Total Nacional;;2019;11,9
Total Nacional;;2018;11,8
Total Nacional;;2017;12,6
Total Nacional;;2016;11,4
Total Nacional;;2015;13,4
Total Nacional;;2014;11,6
Total Nacional;;2013;11,7
Total Nacional;;2012;13,7
Total Nacional;;2011;13,9
Total Nacional;;2010;13,4
Total Nacional;;2009;14,6
Total Nacional;;2008;15,4
Total Nacional;;2007;19,8
Total Nacional;;2006;20,7
Total Nacional;;2005;19,2
Total Nacional;;2004;20,7
Total Nacional;01 Andalucía;2022;10,7
Total Nacional;01 Andalucía;2021;9,5
Total Nacional;01 Andalucía;2020;10,2
Total Nacional;01 Andalucía;2019;14,3
Total Nacional;01 Andalucía;2018;15,0
Total Nacional;01 Andalucía;2017;17,2
Total Nacional;01 Andalucía;2016;13,7
Total Nacional;01 Andalucía;2015;16,4
Total Nacional;01 Andalucía;2014;13,1
Total Nacional;01 Andalucía;2013;14,0
Total Nacional;01 Andalucía;2012;15,5
Total Nacional;01 Andalucía;2011;16,4
Total Nacional;01 Andalucía;2010;16,6
Total Nacional;01 Andalucía;2009;18,4
Total Nacional;01 Andalucía;2008;16,2
Total Nacional;01 Andalucía;2007;..
Total Nacional;01 Andalucía;2006;..
Total Nacional;01 Andalucía;2005;..
Total Nacional;01 Andalucía;2004;..
Total Nacional;02 Aragón;2022;10,2
Total Nacional;02 Aragón;2021;9,1
Total Nacional;02 Aragón;2020;9,9
Total Nacional;02 Aragón;2019;9,6
Total Nacional;02 Aragón;2018;9,8
Total Nacional;02 Aragón;2017;12,7
Total Nacional;02 Aragón;2016;10,8
Total Nacional;02 Aragón;2015;11,9
Total Nacional;02 Aragón;2014;11,0
Total Nacional;02 Aragón;2013;10,3
Total Nacional;02 Aragón;2012;11,9
Total Nacional;02 Aragón;2011;11,8
Total Nacional;02 Aragón;2010;13,1
Total Nacional;02 Aragón;2009;15,0
Total Nacional;02 Aragón;2008;10,0
Total Nacional;02 Aragón;2007;..
Total Nacional;02 Aragón;2006;..
Total Nacional;02 Aragón;2005;..
Total Nacional;02 Aragón;2004;..
Total Nacional;03 Asturias, Principado de;2022;11,2
Total Nacional;03 Asturias, Principado de;2021;9,7
Total Nacional;03 Asturias, Principado de;2020;9,9
Total Nacional;03 Asturias, Principado de;2019;10,0
Total Nacional;03 Asturias, Principado de;2018;10,5
Total Nacional;03 Asturias, Principado de;2017;11,4
Total Nacional;03 Asturias, Principado de;2016;10,5
Total Nacional;03 Asturias, Principado de;2015;12,2
Total Nacional;03 Asturias, Principado de;2014;12,2
Total Nacional;03 Asturias, Principado de;2013;11,5
Total Nacional;03 Asturias, Principado de;2012;11,2
Total Nacional;03 Asturias, Principado de;2011;12,3
Total Nacional;03 Asturias, Principado de;2010;11,4
Total Nacional;03 Asturias, Principado de;2009;11,5
Total Nacional;03 Asturias, Principado de;2008;..
Total Nacional;03 Asturias, Principado de;2007;..
Total Nacional;03 Asturias, Principado de;2006;..
Total Nacional;03 Asturias, Principado de;2005;..
Total Nacional;03 Asturias, Principado de;2004;..
Total Nacional;04 Balears, Illes;2022;13,5
Total Nacional;04 Balears, Illes;2021;14,0
Total Nacional;04 Balears, Illes;2020;12,0
Total Nacional;04 Balears, Illes;2019;13,0
