Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;;2020;21,9
Total Nacional;;2019;14,1
Total Nacional;;2018;17,0
Total Nacional;;2017;15,2
Total Nacional;;2016;16,2
Total Nacional;;2015;15,7
Total Nacional;;2014;15,9
Total Nacional;;2013;18,3
Total Nacional;;2012;15,0
Total Nacional;;2011;15,6
Total Nacional;;2010;18,4
Total Nacional;;2009;22,4
Total Nacional;;2008;22,1
Total Nacional;;2007;25,6
Total Nacional;;2006;26,6
Total Nacional;;2005;28,6
Total Nacional;;2004;25,1
Total Nacional;01 Andalucía;2020;24,6
Total Nacional;01 Andalucía;2019;15,5
Total Nacional;01 Andalucía;2018;18,0
Total Nacional;01 Andalucía;2017;14,9
Total Nacional;01 Andalucía;2016;13,9
Total Nacional;01 Andalucía;2015;11,7
Total Nacional;01 Andalucía;2014;14,8
Total Nacional;01 Andalucía;2013;16,3
Total Nacional;01 Andalucía;2012;18,6
Total Nacional;01 Andalucía;2011;18,1
Total Nacional;01 Andalucía;2010;17,5
Total Nacional;01 Andalucía;2009;23,1
Total Nacional;01 Andalucía;2008;19,8
Total Nacional;01 Andalucía;2007;29,5
Total Nacional;01 Andalucía;2006;27,8
Total Nacional;01 Andalucía;2005;27,9
Total Nacional;01 Andalucía;2004;26,0
Total Nacional;02 Aragón;2020;16,9
Total Nacional;02 Aragón;2019;9,9
Total Nacional;02 Aragón;2018;13,0
Total Nacional;02 Aragón;2017;9,5
Total Nacional;02 Aragón;2016;9,6
Total Nacional;02 Aragón;2015;9,0
Total Nacional;02 Aragón;2014;13,8
Total Nacional;02 Aragón;2013;17,3
Total Nacional;02 Aragón;2012;5,5
Total Nacional;02 Aragón;2011;7,4
Total Nacional;02 Aragón;2010;10,2
Total Nacional;02 Aragón;2009;11,8
Total Nacional;02 Aragón;2008;14,5
Total Nacional;02 Aragón;2007;22,8
Total Nacional;02 Aragón;2006;18,3
Total Nacional;02 Aragón;2005;27,3
Total Nacional;02 Aragón;2004;22,1
Total Nacional;03 Asturias, Principado de;2020;18,5
